Unload Time: 0, Trucker: Sandy 'Trucker Trailblazer' Price, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 198, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: Wendy 'High Beam' Turner, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 329, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Nicole 'Rig Rider' Smith, Company: Sunrise Hauling Co., ID Num: C2, Price of Crate: 385, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Tony 'Diesel King' Smith, Company: Freedom Truck Lines, ID Num: C2, Price of Crate: 377, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Nicole 'Rig Rider' Smith, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 221, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C4, Price of Crate: 494, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 80, Trucker: David 'Rolling Renegade' Jackson, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 314, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 80, Trucker: David 'Trucker Trekker' Anderson, Company: American Freightways, ID Num: C0, Price of Crate: 500, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 80, Trucker: Wendy 'High Beam' Turner, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 437, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 80, Trucker: Nicole 'Rig Rider' Smith, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 374, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Tony 'Diesel King' Smith, Company: Freedom Truck Lines, ID Num: C1, Price of Crate: 241, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Big Sky Express, ID Num: C4, Price of Crate: 262, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Nicole 'Rig Rider' Smith, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 130, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C3, Price of Crate: 338, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Holly 'Highway Healer' Peterson, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 113, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 90, Trucker: Nicole 'Rig Rider' Smith, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 395, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Tony 'Diesel King' Smith, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 363, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Big Sky Express, ID Num: C3, Price of Crate: 281, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 100, Trucker: Nicole 'Rig Rider' Smith, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 496, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C2, Price of Crate: 92, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 100, Trucker: Holly 'Highway Healer' Peterson, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 256, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 100, Trucker: Jason 'Diesel Dynamo' Moore, Company: Green Line Express, ID Num: C3, Price of Crate: 193, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 100, Trucker: Dave 'Cargo Cruiser' Williams, Company: Blue Horizon Transports, ID Num: C4, Price of Crate: 404, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 100, Trucker: Ron 'Freeway Firebrand' Bennett, Company: Thunderstruck Transports, ID Num: C2, Price of Crate: 80, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Big Sky Express, ID Num: C2, Price of Crate: 112, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C1, Price of Crate: 200, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Jason 'Diesel Dynamo' Moore, Company: Green Line Express, ID Num: C2, Price of Crate: 479, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Dave 'Cargo Cruiser' Williams, Company: Blue Horizon Transports, ID Num: C3, Price of Crate: 303, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Ron 'Freeway Firebrand' Bennett, Company: Thunderstruck Transports, ID Num: C1, Price of Crate: 203, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 110, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 459, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 120, Trucker: Jim 'Big Load' Foster, Company: Sunset Transport Systems, ID Num: C1, Price of Crate: 200, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Big Sky Express, ID Num: C1, Price of Crate: 267, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Kim 'Midnight Marauder' Parker, Company: Highway Haulers Co., ID Num: C3, Price of Crate: 351, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Angela 'Mud Flap Maven' Thomas, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 261, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 120, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Freedom Truck Lines, ID Num: C1, Price of Crate: 431, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Jason 'Diesel Dynamo' Moore, Company: Green Line Express, ID Num: C1, Price of Crate: 420, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Dave 'Cargo Cruiser' Williams, Company: Blue Horizon Transports, ID Num: C2, Price of Crate: 497, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 120, Trucker: Ron 'Freeway Firebrand' Bennett, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 276, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 130, Trucker: Jim 'Big Load' Foster, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 58, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 130, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Big Sky Express, ID Num: C0, Price of Crate: 61, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 130, Trucker: Kim 'Midnight Marauder' Parker, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 470, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 355, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 130, Trucker: Jason 'Diesel Dynamo' Moore, Company: Green Line Express, ID Num: C0, Price of Crate: 226, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 130, Trucker: Dave 'Cargo Cruiser' Williams, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 390, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: Lauren 'Cargo Queen' Turner, Company: Freedom Truck Lines, ID Num: C3, Price of Crate: 88, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 130, Trucker: James 'Highway Hawk' Johnson, Company: Thunderstruck Transports, ID Num: C3, Price of Crate: 78, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Kim 'Midnight Marauder' Parker, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 61, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: James 'Highway Hawk' Johnson, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 275, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Dave 'Cargo Cruiser' Williams, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 245, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 140, Trucker: Michelle 'Storm Chaser' Cooper, Company: Freedom Truck Lines, ID Num: C4, Price of Crate: 363, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: Lauren 'Cargo Queen' Turner, Company: Freedom Truck Lines, ID Num: C2, Price of Crate: 430, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 140, Trucker: James 'Highway Hawk' Johnson, Company: Thunderstruck Transports, ID Num: C2, Price of Crate: 373, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Rocky Mountain Carriers, ID Num: C2, Price of Crate: 52, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Jenny 'Road Racer' Adams, Company: Windy City Carriers, ID Num: C0, Price of Crate: 77, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: Kim 'Midnight Marauder' Parker, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 411, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: James 'Highway Hawk' Johnson, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 369, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 150, Trucker: Kevin 'Freight Force' Campbell, Company: Golden Wheel Carriers, ID Num: C1, Price of Crate: 369, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Sarah 'Highway Queen' Rodriguez, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 331, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Michelle 'Storm Chaser' Cooper, Company: Freedom Truck Lines, ID Num: C3, Price of Crate: 79, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: Lauren 'Cargo Queen' Turner, Company: Freedom Truck Lines, ID Num: C1, Price of Crate: 468, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 150, Trucker: James 'Highway Hawk' Johnson, Company: Thunderstruck Transports, ID Num: C1, Price of Crate: 56, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Rocky Mountain Carriers, ID Num: C1, Price of Crate: 64, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Kevin 'Freight Force' Campbell, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 138, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 160, Trucker: Sarah 'Highway Queen' Rodriguez, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 464, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Emily 'Rig Runner' Taylor, Company: Blue Horizon Transports, ID Num: C3, Price of Crate: 83, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Michelle 'Storm Chaser' Cooper, Company: Freedom Truck Lines, ID Num: C2, Price of Crate: 397, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Lauren 'Cargo Queen' Turner, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 213, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 160, Trucker: James 'Highway Hawk' Johnson, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 443, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 170, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 316, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 170, Trucker: Michael 'Road Rescuer' Murphy, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 207, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C4, Price of Crate: 169, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Kelly 'Highway Hawk' Hernandez, Company: Trucker's Choice Transport, ID Num: C4, Price of Crate: 125, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Sarah 'Highway Queen' Rodriguez, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 261, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 170, Trucker: Emily 'Rig Runner' Taylor, Company: Blue Horizon Transports, ID Num: C2, Price of Crate: 346, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Michelle 'Storm Chaser' Cooper, Company: Freedom Truck Lines, ID Num: C1, Price of Crate: 82, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Michael 'Road Rescuer' Murphy, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 468, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 180, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C3, Price of Crate: 321, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Kelly 'Highway Hawk' Hernandez, Company: Trucker's Choice Transport, ID Num: C3, Price of Crate: 305, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Scott 'Freeway Fury' Phillips, Company: Blue Horizon Transports, ID Num: C2, Price of Crate: 487, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Emily 'Rig Runner' Taylor, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 376, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Michelle 'Storm Chaser' Cooper, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 80, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 180, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Freedom Truck Lines, ID Num: C4, Price of Crate: 370, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: John 'Truckin' Titan' Young, Company: Thunderstruck Transports, ID Num: C4, Price of Crate: 102, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 373, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Kelly 'Highway Hawk' Hernandez, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 458, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Scott 'Freeway Fury' Phillips, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 210, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Gary 'Cargo Crusader' Lewis, Company: Big Sky Express, ID Num: C0, Price of Crate: 351, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: Emily 'Rig Runner' Taylor, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 425, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Freedom Truck Lines, ID Num: C3, Price of Crate: 51, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: David 'Trucker Trekker' Anderson, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 278, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: John 'Truckin' Titan' Young, Company: Thunderstruck Transports, ID Num: C3, Price of Crate: 154, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Mike 'Big Rig' Johnson, Company: Redwood Trucking Group, ID Num: C2, Price of Crate: 79, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 69, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Kelly 'Highway Hawk' Hernandez, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 441, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Scott 'Freeway Fury' Phillips, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 191, Scenario: A crate was unloaded, and the truck was sent off.
